policy_category,ABC,CBS,CNN,Fox,MSNBC,NBC,PBS
(De)regulation and laws,2,11,50,38,32,1,8
Emergency declaration,0,1,6,7,5,0,0
Emission reduction,5,23,144,72,39,4,16
Executive action,14,32,260,154,91,5,19
Green New Deal,3,1,38,78,23,3,7
Oil and gas industry,5,17,135,118,41,7,12
Other climate policy,2,9,66,20,31,1,7
Paris Agreement,7,18,156,66,41,7,12
Renewable energy,6,17,126,80,50,3,11
