Response,Value,Proportion
Does not mention,1306.5,0.6461424332344213
Supports,333.0,0.16468842729970326
Neutral,220.0,0.10880316518298715
Opposes,138.5,0.06849653808110781
Debate,19.0,0.009396636993076163
Unclear,5.0,0.002472799208704253
