policy_category,Supports,Neutral,Debate,Opposes
(De)regulation and laws,68.0,34.0,8.5,30.0
Emergency declaration,7.0,4.0,1.5,5.5
Emission reduction,164.0,55.5,13.75,53.25
Executive action,258.0,179.75,20.0,111.75
Green New Deal,53.0,24.0,7.0,67.0
Oil and gas industry,141.75,73.75,15.75,88.75
Other climate policy,58.5,36.25,8.75,15.5
Paris Agreement,152.5,88.0,10.5,47.5
Renewable energy,156.5,55.5,11.25,54.75
