Response,Value,Proportion
Neutral,1201.5,0.594213649851632
Acknowledges,799.5,0.3954005934718101
Denies,17.0,0.008407517309594461
Debate,2.5,0.0012363996043521265
Unclear,1.5,0.000741839762611276
