Response,Value,Proportion
Expresses climate concern,956.5,0.47292954264524106
Neutral,951.0,0.47021013597033373
Expresses opposition to climate concern,104.5,0.051668726823238566
Debate,8.5,0.004202719406674907
Unclear,2.0,0.000988875154511743
