policy_category,Supports,Neutral,Debate,Opposes
(De)regulation and laws,64.5,29.0,6.5,27.75
Emergency declaration,7.0,3.5,1.5,4.75
Emission reduction,155.5,50.75,12.25,48.75
Executive action,243.75,162.25,17.5,103.75
Green New Deal,49.25,22.5,6.0,61.75
Oil and gas industry,133.25,62.5,14.25,81.25
Other climate policy,53.75,30.5,7.75,14.75
Paris Agreement,149.5,85.25,9.5,44.5
Renewable energy,148.75,46.0,9.75,50.25
