,internal_id,media_outlet,policy
226,124,MSNBC,Does not mention
227,124,MSNBC,Does not mention
228,125,ABC,Does not mention
229,125,ABC,Does not mention
230,126,Fox,Does not mention
231,126,Fox,Does not mention
232,127,Fox,Does not mention
233,127,Fox,Does not mention
234,128,CBS,Does not mention
235,128,CBS,Does not mention
236,129,CNN,Does not mention
237,129,CNN,Does not mention
238,130,CNN,Does not mention
239,130,CNN,Does not mention
240,131,CNN,Does not mention
241,131,CNN,Does not mention
242,132,Fox,Does not mention
243,132,Fox,Does not mention
244,133,CNN,Does not mention
245,133,CNN,Does not mention
246,135,PBS,Does not mention
247,135,PBS,Does not mention
248,136,CNN,Does not mention
249,136,CNN,Does not mention
250,137,CNN,Does not mention
251,137,CNN,Does not mention
252,138,CNN,Does not mention
253,138,CNN,Does not mention
254,139,MSNBC,Neutral
255,139,MSNBC,Opposes
256,140,MSNBC,Does not mention
257,140,MSNBC,Does not mention
258,142,CNN,Does not mention
259,142,CNN,Does not mention
260,144,Fox,Does not mention
261,144,Fox,Does not mention
262,145,CNN,Does not mention
263,145,CNN,Does not mention
264,146,CBS,Does not mention
265,146,CBS,Does not mention
266,148,MSNBC,Does not mention
267,148,MSNBC,Does not mention
268,149,NBC,Does not mention
269,149,NBC,Does not mention
270,150,CNN,Does not mention
271,150,CNN,Does not mention
272,151,Fox,Does not mention
273,151,Fox,Does not mention
274,152,CNN,Does not mention
275,152,CNN,Does not mention
276,153,PBS,Does not mention
277,153,PBS,Does not mention
278,154,NBC,Does not mention
279,154,NBC,Does not mention
280,155,Fox,Does not mention
281,155,Fox,Does not mention
282,157,NBC,Does not mention
283,157,NBC,Does not mention
284,158,CNN,Does not mention
285,158,CNN,Does not mention
286,159,PBS,Does not mention
287,159,PBS,Does not mention
288,160,CNN,Does not mention
289,160,CNN,Does not mention
290,161,CNN,Does not mention
291,161,CNN,Does not mention
292,162,Fox,Does not mention
293,162,Fox,Does not mention
294,163,Fox,Does not mention
295,163,Fox,Does not mention
296,164,NBC,Does not mention
297,164,NBC,Does not mention
298,165,CBS,Does not mention
299,165,CBS,Does not mention
300,166,Fox,Does not mention
301,166,Fox,Does not mention
302,167,CNN,Does not mention
303,167,CNN,Does not mention
304,168,MSNBC,Does not mention
305,168,MSNBC,Does not mention
306,169,CNN,Does not mention
307,170,MSNBC,Does not mention
308,170,MSNBC,Does not mention
309,171,CNN,Does not mention
310,171,CNN,Does not mention
311,172,CNN,Does not mention
312,172,CNN,Does not mention
313,173,MSNBC,Does not mention
314,173,MSNBC,Does not mention
315,174,Fox,Does not mention
316,174,Fox,Opposes
317,175,Fox,Does not mention
318,175,Fox,Debate
319,176,CNN,Does not mention
320,176,CNN,Does not mention
321,177,Fox,Does not mention
322,177,Fox,Does not mention
323,178,NBC,Does not mention
324,178,NBC,Does not mention
325,179,MSNBC,Does not mention
326,179,MSNBC,Does not mention
327,180,CNN,Does not mention
328,180,CNN,Does not mention
329,181,PBS,Does not mention
330,181,PBS,Does not mention
331,182,NBC,Does not mention
332,182,NBC,Does not mention
333,182,NBC,Does not mention
334,183,ABC,Does not mention
335,183,ABC,Does not mention
336,184,CNN,Supports
337,184,CNN,Supports
338,185,CNN,Does not mention
339,185,CNN,Does not mention
340,186,CNN,Does not mention
